Prueba,Valor R,Spo2 Sensor
1,0.8462,98
2,0.8666,98
3,0.87,97
4,0.8871,93
5,0.8885,99
6,0.9015,99
7,0.9016,98
8,0.9022,98
9,0.9188,98
10,0.9208,97
1,0.937,97
2,0.9419,99
3,0.9507,97
4,0.9512,96
5,0.9519,97
6,0.9593,98
7,0.973,98
8,0.9734,96
9,0.9749,97
10,0.9773,99
1,0.9783,99
2,0.9793,97
3,0.9802,97
4,0.982,97
5,0.9833,97
6,0.9841,98
7,0.9853,98
8,0.9857,98
9,0.9878,98
10,0.9891,98
1,0.9905,97
2,0.9938,98
3,0.9948,97
4,0.9976,97
5,1.005,93
6,1.0055,97
7,1.0068,96
8,1.0118,96
9,1.0143,98
10,1.0176,96
1,1.0188,98
2,1.0191,97
3,1.0229,99
4,1.025,98
5,1.0256,96
6,1.0289,98
7,1.0348,98
8,1.0353,96
9,1.0381,97
10,1.0499,94
1,1.056,96
2,1.0592,98
3,1.0608,98
4,1.0663,96
5,1.0671,98
6,1.0727,95
7,1.0778,97
8,1.0895,97
9,1.0948,95
10,1.1003,97
1,1.1231,96
2,1.1301,98
3,1.1471,97
4,1.1731,96
5,1.201,97
6,1.2329,97
7,1.2826,98
8,1.4384,99
9,1.4636,97
10,1.7057,99
